resource_id,title,description,org_type,fields,orgs,source,sectors,date_created,date_updated
27d1d629-7cf0-419c-a342-d83f700d24d1,States/ UT-wise Comparison of the notified wage rate for Unskilled Manual work under Mahatma Gandhi National Rural Employment Guarantee Scheme(MGNREGA) during 2016-17 (From: Ministry of Rural Development),States/ UT-wise Comparison of the notified wage rate for Unskilled Manual work under Mahatma Gandhi National Rural Employment Guarantee Scheme(MGNREGA) during 2016-17 (From: Ministry of Rural Development),Central,"['document_id', 's__no_', 'states__uts', 'mgnrega_notified_wage_rate___fy_2016_17', 'minimum_agricultural_wage____fy_2016_17', 'remarks', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:41:08+00:00,2023-12-15T09:56:41+00:00
720e21aa-32c2-45d8-878d-7484b9fc487e,State/ UT-wise Average Wage per Personday under (MGNREGA) from 2012-13 to 2016-17 (From: Ministry of Rural Development),State/ UT-wise Average Wage per Personday under (MGNREGA) from 2012-13 to 2016-17 (From: Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'states__uts', 'average_wage_per_personday__in_rs_____2012_13', 'average_wage_per_personday__in_rs_____2013_14', 'average_wage_per_personday__in_rs_____2014_15', 'average_wage_per_personday__in_rs_____2015_16', 'average_wage_per_personday__in_rs_____2016_17', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:39:52+00:00,2023-12-15T09:56:39+00:00
7388bc76-4871-4f0b-8dc4-93f6f8716098,State/ UT-wise Status of Payment of Delay Compensation under MGNREGA From 2016-17 and 2017-18 (From: Ministry of Rural Development),State/ UT-wise Status of Payment of Delay Compensation under MGNREGA From 2016-17 and 2017-18 (From: Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'states__uts', 'estimated_delay_compensation___2016_17', 'estimated_delay_compensation___2017_18', 'amount_approved___2016_17', 'amount_approved___2017_18', 'amount_yet_to_be_verified___2016_17', 'amount_yet_to_be_verified___2017_18', 'delay_compensation_paid___2016_17', 'delay_compensation_paid___2017_18', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:24:32+00:00,2023-12-15T09:55:27+00:00
2611cc74-3b21-4522-907a-f4186ec2bbdf,State/ UT-wise Status of Households demanded Employment and Households provided Employment under MGNREGA from 2014-15 to 2016-17 (From: Ministry of Rural Development),State/ UT-wise Status of Households demanded Employment and Households provided Employment under MGNREGA from 2014-15 to 2016-17 (From: Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'states__uts', 'households_demanded_employment___2014_15', 'households_demanded_employment___2015_16', 'households_demanded_employment___2016_17', 'households_provided_employment___2014_15', 'households_provided_employment___2015_16', 'households_provided_employment___2016_17', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:23:43+00:00,2023-12-15T09:55:15+00:00
630072f2-9e62-4f4a-be74-e406617dc921,State/ UT-wise Details of Central Funds released and Expenditure under MGNREGA from 2014-15 to 2016-17 (From: Ministry of Rural Development),State/ UT-wise Details of Central Funds released and Expenditure under MGNREGA from 2014-15 to 2016-17 (From: Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'states__uts', 'central_fund_released___2014_15', 'central_fund_released___2015_16', 'central_fund_released___2016_17_', 'expenditure___2014_15', 'expenditure___2015_16', 'expenditure___2016_17', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:23:16+00:00,2023-12-15T09:55:14+00:00
e7ee2e1e-570c-47d6-9183-9dad3773dd16,State/ UT-wise Job cards Issued under MGNREGA (in reply to Unstarred Question on 17-07-2017) (From: Ministry of Rural Development),State/ UT-wise Job cards Issued under MGNREGA (in reply to Unstarred Question on 17-07-2017) (From: Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'states__uts', 'cumulative_number_of_household_issued_job_cards__in_lakh_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-14T17:21:58+00:00,2023-12-15T09:55:12+00:00
923b4373-b4a9-42fa-adf0-51efe0917abd,Person days Denerated under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) upto June in 2015-16 and 2016-17 (Ministry of Rural Development),Person days Denerated under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) upto June in 2015-16 and 2016-17 (Ministry of Rural Development),Central,"['document_id', '_sr__no_', 'state', 'persondays_generated_upto_june_in_fy__2015_16__in_lakh_', 'persondays_generated_upto_june_in_fy__2016__17__in_lakh_', '_age_change', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T20:45:17+00:00,2023-12-07T10:35:34+00:00
418b414a-0963-4b0c-bbe2-ad0d535a59e2,Number of Assets Created in the Drought Affected States under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 (Ministry of Rural Development),Number of Assets Created in the Drought Affected States under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 (Ministry of Rural Development),Central,"['document_id', 'si_no_', 'state', 'completed_works___public_works_relating_to_natural_resources_management', 'completed_works___individual_assets_for_vulnerablesections_only_for_households_in_paragraph_5_', 'completed_works___common_infrastructure_for_nrlm_compliant_self_help_groups', 'completed_works___rural_infrastucture', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T20:44:52+00:00,2023-12-07T10:35:34+00:00
26837e5a-3f9d-42f2-a85a-0e511a17a888,Details of Households Provided More than 100 days Employment in drought affected 10 States under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 (Ministry of Rural Development),Details of Households Provided More than 100 days Employment in drought affected 10 States under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 (Ministry of Rural Development),Central,"['document_id', '_si__no_', 'state', 'house_hold_employed_more_than_100_days__in_nos_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T20:43:08+00:00,2023-12-07T10:35:31+00:00
0b3149e7-2845-49dd-b0c3-92f133a05744,State-wise Delayed Payment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 to 2016-17 as on 27-07-2016 (Ministry of Rural Development),State-wise Delayed Payment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 to 2016-17 as on 27-07-2016 (Ministry of Rural Development),Central,"['document_id', '_sr__no_', 'states', '_age_of_delayed_payment___2015_16', '_age_of_delayed_payment___27_07_2016', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T20:08:00+00:00,2023-12-07T10:34:03+00:00
